"Date","Titles","Price","Link"
"2022-09-15","Apple iPhone 13 Pro Max (128 GB) - Plata","1690 dólares","https://www.mercadolibre.com.uy/apple-iphone-13-pro-max-128-gb-plata/p/MLU18494231?pdp_filters=category:MLU1055#searchVariation=MLU18494231&position=9&search_layout=stack&type=product&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Apple iPhone 13 Pro (256 GB) - Plata","1683 dólares","https://www.mercadolibre.com.uy/apple-iphone-13-pro-256-gb-plata/p/MLU18494254?pdp_filters=category:MLU1055#searchVariation=MLU18494254&position=10&search_layout=stack&type=product&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","iPhone 13 Pro Max 6.7 Ips 128gb 6gb 5g Cámara Cuádruple Nnet","1843 dólares","https://articulo.mercadolibre.com.uy/MLU-615893914-iphone-13-pro-max-67-ips-128gb-6gb-5g-camara-cuadruple-nnet-_JM#position=19&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","iPhone 13 128gb 6,1 Retina Xdr Oled Nuevo Diginet","1489 dólares","https://articulo.mercadolibre.com.uy/MLU-605626221-iphone-13-128gb-61-retina-xdr-oled-nuevo-diginet-_JM?searchVariation=173996962080#searchVariation=173996962080&position=20&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Celular iPhone 13 Mini 128gb Libre","1165 dólares","https://articulo.mercadolibre.com.uy/MLU-616833046-celular-iphone-13-mini-128gb-libre-_JM?searchVariation=175015744657#searchVariation=175015744657&position=21&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Apple iPhone 13 (128 Gb) - Nuevos Y Sellados De Fábrica.","1250 dólares","https://articulo.mercadolibre.com.uy/MLU-608414595-apple-iphone-13-128-gb-nuevos-y-sellados-de-fabrica-_JM?searchVariation=174217280277#searchVariation=174217280277&position=22&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","iPhone 13 Pro Max 6.7  512gb 6gb 5g Cámara Cuádruple Nnet","2344 dólares","https://articulo.mercadolibre.com.uy/MLU-616046901-iphone-13-pro-max-67-512gb-6gb-5g-camara-cuadruple-nnet-_JM#position=23&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","iPhone 13 Pro 6.1  128b 6gb 5g 12mp Cámara Cuádruple Nnet","1808 dólares","https://articulo.mercadolibre.com.uy/MLU-616416783-iphone-13-pro-61-128b-6gb-5g-12mp-camara-cuadruple-nnet-_JM#position=24&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","iPhone 13, 128gb, Nuevo, Sellado, Libre","1170 dólares","https://articulo.mercadolibre.com.uy/MLU-602168369-iphone-13-128gb-nuevo-sellado-libre-_JM?searchVariation=174062521557#searchVariation=174062521557&position=25&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Apple iPhone 13 Pro (128 GB) - Plata","1490 dólares","https://www.mercadolibre.com.uy/apple-iphone-13-pro-128-gb-plata/p/MLU18494250?pdp_filters=category:MLU1055#searchVariation=MLU18494250&position=11&search_layout=stack&type=product&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","iPhone 13 pro max 128gb Graphite","2099 dólares","https://articulo.mercadolibre.com.uy/MLU-610009168-iphone13promax-128gb-graphite-_JM?searchVariation=174351308123#searchVariation=174351308123&position=26&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Apple iPhone 13 Mini (128 Gb) - Blanco Estelar","1095 dólares","https://articulo.mercadolibre.com.uy/MLU-618294587-apple-iphone-13-mini-128-gb-blanco-estelar-_JM?searchVariation=175244146212#searchVariation=175244146212&position=27&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","iPhone 13- 128gb- Libres De Fabrica - En Caja Sellada.","1148 dólares","https://articulo.mercadolibre.com.uy/MLU-602054782-iphone-13-128gb-libres-de-fabrica-en-caja-sellada-_JM?searchVariation=173765070449#searchVariation=173765070449&position=28&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Celular Apple iPhone 13 Pro Max 128 Gb","1920 dólares","https://articulo.mercadolibre.com.uy/MLU-617840754-celular-apple-iphone-13-pro-max-128-gb-_JM#position=29&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","iPhone 13 Pro 6.1  Retina 256gb 6gb 5g Cámara Cuádruple Nnet","1910 dólares","https://articulo.mercadolibre.com.uy/MLU-616123621-iphone-13-pro-61-retina-256gb-6gb-5g-camara-cuadruple-nnet-_JM#position=30&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","iPhone 13 Mini - 128gb - Libres De Fábrica - En Caja Sellada","1120 dólares","https://articulo.mercadolibre.com.uy/MLU-602054891-iphone-13-mini-128gb-libres-de-fabrica-en-caja-sellada-_JM?searchVariation=173765366661#searchVariation=173765366661&position=31&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Apple iPhone 13 (128 Gb) - Verde","1327 dólares","https://articulo.mercadolibre.com.uy/MLU-616150695-apple-iphone-13-128-gb-verde-_JM?searchVariation=174932679324#searchVariation=174932679324&position=32&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Apple iPhone 13 Pro (128 Gb) - Plata","1598 dólares","https://articulo.mercadolibre.com.uy/MLU-618307618-apple-iphone-13-pro-128-gb-plata-_JM?searchVariation=175244195435#searchVariation=175244195435&position=33&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Apple iPhone 13 (128 Gb) - Blanco Estelar","1327 dólares","https://articulo.mercadolibre.com.uy/MLU-616176708-apple-iphone-13-128-gb-blanco-estelar-_JM?searchVariation=174932722640#searchVariation=174932722640&position=34&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
